Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2020/01/11,06,CA,06075,San Francisco County,"238,001","643,548","2,779,955","928,449","765,029","355,972","392,061","223,660","79,898","25,120","6,298","1,565","1,903",06-06075-20200111,1,1
County,2020/01/11,06,CA,06081,San Mateo County,"158,827","607,746","2,580,045","751,358","680,595","288,272","357,704","349,383","113,346","23,602","11,660","2,035","2,090",06-06081-20200111,1,1
County,2020/01/11,06,CA,06085,Santa Clara County,"380,985","1,546,867","7,112,218","2,017,119","1,905,059","841,455","1,102,618","851,488","295,791","78,557","15,252","3,398","1,481",06-06085-20200111,1,1
County,2020/01/12,06,CA,06085,Santa Clara County,"413,348","1,514,504","6,630,117","1,907,804","1,813,267","816,574","1,016,211","726,184","252,050","74,315","17,625","4,134","1,953",06-06085-20200112,2,1
County,2020/01/12,06,CA,06081,San Mateo County,"173,361","593,212","2,398,853","668,391","645,521","282,800","337,013","318,992","101,327","26,964","12,982","2,190","2,673",06-06081-20200112,2,1
County,2020/01/12,06,CA,06075,San Francisco County,"248,742","632,807","2,605,553","855,872","749,602","332,192","357,691","206,437","67,910","24,447","6,913","2,147","2,342",06-06075-20200112,2,1
County,2020/01/12,06,CA,06001,Alameda County,"369,967","1,301,362","5,382,551","1,532,281","1,471,066","667,813","703,136","727,333","210,702","44,270","18,321","4,844","2,785",06-06001-20200112,2,1
County,2020/01/13,06,CA,06001,Alameda County,"313,007","1,358,322","5,906,700","1,745,683","1,497,677","678,966","742,529","929,610","257,881","37,259","11,352","3,173","2,570",06-06001-20200113,2,1
County,2020/01/13,06,CA,06075,San Francisco County,"228,583","652,966","2,881,618","1,012,300","781,340","363,595","404,045","208,003","85,218","19,452","4,322","1,118","2,225",06-06075-20200113,2,1
County,2020/01/13,06,CA,06081,San Mateo County,"144,793","621,780","2,686,002","797,235","693,360","304,880","377,404","383,271","100,723","18,071","6,733","1,739","2,586",06-06081-20200113,2,1
County,2020/01/13,06,CA,06085,Santa Clara County,"349,040","1,578,812","7,379,758","2,243,362","1,839,435","845,145","1,118,348","961,050","299,373","60,141","8,730","2,636","1,538",06-06085-20200113,2,1
County,2020/01/14,06,CA,06085,Santa Clara County,"342,612","1,585,240","7,595,176","2,307,414","1,872,176","878,123","1,180,453","989,054","296,091","61,581","7,126","2,142","1,016",06-06085-20200114,2,1
County,2020/01/14,06,CA,06081,San Mateo County,"140,882","625,691","2,739,272","798,384","713,640","318,335","385,481","393,953","102,865","18,065","4,648","1,521","2,380",06-06081-20200114,2,1
County,2020/01/14,06,CA,06075,San Francisco County,"231,179","650,370","2,853,855","1,015,409","762,375","376,151","394,820","206,929","77,831","14,758","2,911",868,"1,803",06-06075-20200114,2,1
County,2020/01/14,06,CA,06001,Alameda County,"306,769","1,364,560","6,175,465","1,833,899","1,560,264","687,054","786,772","979,914","275,963","37,856","9,098","2,740","1,905",06-06001-20200114,2,1
County,2020/01/15,06,CA,06085,Santa Clara County,"333,507","1,594,345","7,732,427","2,438,629","1,870,333","867,712","1,193,945","987,751","304,907","58,977","6,374","2,411","1,388",06-06085-20200115,2,1
County,2020/01/15,06,CA,06081,San Mateo County,"140,111","626,462","2,739,557","791,710","715,078","316,939","394,277","393,404","99,866","17,868","6,036","2,127","2,252",06-06081-20200115,2,1
County,2020/01/15,06,CA,06075,San Francisco County,"228,386","653,163","2,781,742","963,203","768,993","352,928","385,357","201,643","84,873","18,000","3,660","1,139","1,946",06-06075-20200115,2,1
County,2020/01/15,06,CA,06001,Alameda County,"299,383","1,371,946","6,074,052","1,779,388","1,538,944","677,579","781,984","969,638","271,945","38,755","10,650","3,105","2,064",06-06001-20200115,2,1
County,2020/01/16,06,CA,06001,Alameda County,"313,695","1,357,634","5,891,857","1,707,967","1,502,755","660,258","751,452","939,553","271,751","40,255","10,431","4,052","3,383",06-06001-20200116,2,1
County,2020/01/16,06,CA,06075,San Francisco County,"233,280","648,269","2,715,388","902,027","767,370","355,132","382,866","202,134","82,731","14,914","4,297","1,586","2,331",06-06075-20200116,2,1
County,2020/01/16,06,CA,06081,San Mateo County,"149,883","616,690","2,585,827","741,009","668,218","297,441","377,360","371,556","102,915","16,404","5,592","2,234","3,098",06-06081-20200116,2,1
County,2020/01/16,06,CA,06085,Santa Clara County,"346,196","1,581,656","7,187,422","2,055,232","1,802,357","860,772","1,165,054","944,793","287,470","57,755","8,617","3,336","2,036",06-06085-20200116,2,1
County,2020/01/17,06,CA,06001,Alameda County,"297,277","1,374,052","6,310,263","1,858,070","1,604,305","727,295","806,361","963,803","279,689","45,602","16,613","5,109","3,416",06-06001-20200117,2,1
County,2020/01/17,06,CA,06075,San Francisco County,"224,264","657,285","2,915,654","1,007,972","805,973","380,679","388,850","220,366","77,725","21,531","7,181","2,466","2,911",06-06075-20200117,2,1
County,2020/01/17,06,CA,06081,San Mateo County,"140,866","625,707","2,801,602","814,552","738,860","328,091","387,728","385,654","106,408","21,560","12,244","3,413","3,092",06-06081-20200117,2,1
County,2020/01/17,06,CA,06085,Santa Clara County,"331,546","1,596,306","7,943,366","2,433,839","1,983,095","919,615","1,233,599","976,179","307,974","67,451","15,275","4,355","1,984",06-06085-20200117,2,1
County,2020/01/18,06,CA,06085,Santa Clara County,"369,487","1,558,365","7,573,765","2,192,562","2,000,213","920,595","1,163,418","881,562","296,431","93,507","19,805","4,060","1,612",06-06085-20200118,2,1
County,2020/01/18,06,CA,06081,San Mateo County,"154,443","612,130","2,805,296","826,454","743,590","320,168","391,105","359,395","117,099","28,037","14,003","2,695","2,750",06-06081-20200118,2,1
County,2020/01/18,06,CA,06075,San Francisco County,"234,127","647,422","2,957,461","1,008,982","825,635","372,243","404,885","227,288","77,562","27,569","9,311","1,997","1,989",06-06075-20200118,2,1
County,2020/01/18,06,CA,06001,Alameda County,"331,945","1,339,384","5,982,452","1,669,170","1,629,590","722,880","794,121","830,500","250,453","57,699","20,340","4,669","3,030",06-06001-20200118,2,1
County,2020/01/19,06,CA,06085,Santa Clara County,"412,236","1,515,616","6,641,301","1,948,621","1,742,421","816,573","1,010,494","756,615","262,124","80,030","18,262","4,549","1,612",06-06085-20200119,3,1
County,2020/01/19,06,CA,06081,San Mateo County,"174,922","591,651","2,366,225","684,460","643,295","266,270","320,991","299,043","104,766","27,518","13,653","3,123","3,106",06-06081-20200119,3,1
County,2020/01/19,06,CA,06075,San Francisco County,"247,449","634,100","2,567,397","851,342","714,259","331,938","352,428","203,933","75,953","24,463","8,547","2,158","2,376",06-06075-20200119,3,1
County,2020/01/19,06,CA,06001,Alameda County,"373,319","1,298,010","5,390,004","1,659,499","1,420,149","625,066","657,681","722,010","226,287","50,768","20,122","5,195","3,227",06-06001-20200119,3,1
County,2020/01/20,06,CA,06001,Alameda County,"356,325","1,315,004","5,506,692","1,590,511","1,447,623","646,737","689,528","808,753","242,593","48,338","23,039","5,707","3,863",06-06001-20200120,3,1
County,2020/01/20,06,CA,06075,San Francisco County,"246,735","634,814","2,630,522","902,304","724,718","332,331","368,476","196,837","67,068","22,803","10,421","2,807","2,757",06-06075-20200120,3,1
