Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2019/03/19,06,CA,06081,San Mateo County,149181,617392,2977677,852860,774920,341711,423925,437298,112278,19347,7794,2612,4932,06-06081-20190319,11,3
County,2019/03/19,06,CA,06085,Santa Clara County,358533,1569319,7370653,2094198,1779508,808085,1212835,1031953,325019,80676,19415,5994,12970,06-06085-20190319,11,3
County,2019/03/20,06,CA,06001,Alameda County,396384,1274945,6215026,1801935,1590534,657656,827528,1009556,266636,35507,14136,5048,6490,06-06001-20190320,11,3
County,2019/03/20,06,CA,06075,San Francisco County,284282,597267,2947657,1027991,789677,377045,438693,205210,81297,14696,4718,2068,6262,06-06075-20190320,11,3
County,2019/03/20,06,CA,06081,San Mateo County,173100,593473,3076032,877142,813584,348697,452920,450441,102017,15979,6856,2502,5894,06-06081-20190320,11,3
County,2019/03/20,06,CA,06085,Santa Clara County,421924,1505928,7422141,2012777,1898736,812964,1300563,1028128,283541,55397,14822,6264,8949,06-06085-20190320,11,3
County,2019/03/21,06,CA,06001,Alameda County,396829,1274500,6516986,1921413,1631530,696483,866487,1064336,271105,37880,15910,5286,6556,06-06001-20190321,11,3
County,2019/03/21,06,CA,06075,San Francisco County,282098,599451,3062815,1083710,812991,384962,469253,209084,74263,15064,4405,2175,6908,06-06075-20190321,11,3
County,2019/03/21,06,CA,06081,San Mateo County,174768,591805,3215496,949393,833634,351385,472872,470363,102960,16787,8641,2861,6600,06-06081-20190321,11,3
County,2019/03/21,06,CA,06085,Santa Clara County,422731,1505121,7824769,2168460,1975077,862808,1369336,1068448,289095,60393,15913,6207,9032,06-06085-20190321,11,3
County,2019/03/22,06,CA,06001,Alameda County,389912,1281417,6785605,1911320,1759816,729293,908719,1097278,293187,49297,21809,6943,7943,06-06001-20190322,11,3
County,2019/03/22,06,CA,06075,San Francisco County,278949,602600,3092002,1014821,871749,398112,468967,218047,80654,20567,9234,3185,6666,06-06075-20190322,11,3
County,2019/03/22,06,CA,06081,San Mateo County,172767,593806,3262328,882220,856067,372157,513484,488523,111335,18845,11298,3113,5286,06-06081-20190322,11,3
County,2019/03/22,06,CA,06085,Santa Clara County,421214,1506638,8222509,2216719,2068558,933586,1441549,1123050,331004,68425,22274,7505,9839,06-06085-20190322,11,3
