Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2020/03/25,06,CA,06001,Alameda County,509638,1161691,3353490,978345,858145,352023,405059,490463,187503,50488,22109,6307,3048,06-06001-20200325,12,3
County,2020/03/25,06,CA,06075,San Francisco County,328397,553152,1630884,523836,454965,207357,212166,134369,63504,22074,7313,2801,2499,06-06075-20200325,12,3
County,2020/03/25,06,CA,06081,San Mateo County,253962,512611,1592475,481374,441233,180273,210088,188026,66305,13005,7954,1644,2573,06-06081-20200325,12,3
County,2020/03/25,06,CA,06085,Santa Clara County,609675,1318177,3690120,1087893,866314,413132,536588,481123,206802,68527,20658,6361,2722,06-06085-20200325,12,3
County,2020/03/26,06,CA,06001,Alameda County,516326,1155003,3399006,999380,846071,367358,415533,506596,185371,47922,21475,6380,2920,06-06001-20200326,12,3
County,2020/03/26,06,CA,06081,San Mateo County,252749,513824,1646408,502024,482910,170926,214285,187856,64058,13774,6763,2168,1644,06-06081-20200326,12,3
County,2020/03/26,06,CA,06075,San Francisco County,334716,546833,1656404,542829,438780,228159,214355,136661,62872,18045,9179,2752,2772,06-06075-20200326,12,3
County,2020/03/26,06,CA,06085,Santa Clara County,616793,1311059,3926814,1168357,982351,408346,569127,509956,196370,65004,18872,6079,2352,06-06085-20200326,12,3
County,2020/03/27,06,CA,06075,San Francisco County,330739,550810,1651224,528887,467964,212301,213861,129122,61276,22819,9801,2999,2194,06-06075-20200327,12,3
County,2020/03/27,06,CA,06081,San Mateo County,250574,515999,1637664,505411,475335,176826,207867,182157,61924,14454,9782,2134,1774,06-06081-20200327,12,3
County,2020/03/27,06,CA,06085,Santa Clara County,606121,1321731,3883049,1113157,1006748,414057,537588,502231,208972,71330,19563,7238,2165,06-06085-20200327,12,3
County,2020/03/27,06,CA,06001,Alameda County,516800,1154529,3494736,1024720,898678,360186,434760,510745,190873,46962,18411,6257,3144,06-06001-20200327,12,3
County,2020/03/28,06,CA,06085,Santa Clara County,646796,1281056,3610762,1031528,1004172,417550,515111,393689,151638,65659,20892,7874,2649,06-06085-20200328,12,3
County,2020/03/28,06,CA,06081,San Mateo County,263252,503321,1533225,474498,464668,174369,174862,162425,52961,14367,10020,1917,3138,06-06081-20200328,12,3
County,2020/03/28,06,CA,06075,San Francisco County,341069,540480,1575186,506240,483089,179545,195765,120174,58220,17458,7478,3859,3358,06-06075-20200328,12,3
County,2020/03/28,06,CA,06001,Alameda County,552617,1118712,3157313,920389,890238,356869,379235,386259,149400,43831,18864,7631,4597,06-06001-20200328,12,3
County,2020/03/29,06,CA,06001,Alameda County,575358,1095971,2953077,903548,855663,311357,347889,334728,128411,39193,20850,6003,5435,06-06001-20200329,13,3
County,2020/03/29,06,CA,06075,San Francisco County,353620,527929,1522545,530037,460291,193483,155328,102810,46115,19780,8884,3163,2654,06-06075-20200329,13,3
County,2020/03/29,06,CA,06081,San Mateo County,277446,489127,1413349,424068,447118,167094,156249,132493,58973,14944,6313,3187,2910,06-06081-20200329,13,3
County,2020/03/29,06,CA,06085,Santa Clara County,664389,1263463,3315671,959464,961004,405576,438136,327975,137112,55343,21429,6908,2724,06-06085-20200329,13,3
County,2020/03/30,06,CA,06001,Alameda County,510674,1160655,3313046,941797,864533,359612,411662,476905,180349,48420,20734,5178,3856,06-06001-20200330,13,3
County,2020/03/30,06,CA,06085,Santa Clara County,603242,1324610,3785942,1091816,973503,413179,539539,479147,197536,62602,19122,6453,3045,06-06085-20200330,13,3
County,2020/03/30,06,CA,06081,San Mateo County,252976,513597,1623831,513102,442200,174108,210375,194783,63200,13543,8357,2690,1473,06-06081-20200330,13,3
County,2020/03/30,06,CA,06075,San Francisco County,333904,547645,1565076,493124,444899,203777,202014,122763,61051,21493,9239,3946,2770,06-06075-20200330,13,3
County,2020/03/31,06,CA,06001,Alameda County,516759,1154570,3275494,931247,856725,348813,386264,486459,189284,45872,21725,5080,4025,06-06001-20200331,13,3
County,2020/03/31,06,CA,06075,San Francisco County,334229,547320,1594372,513425,455452,197316,203085,133060,58918,20497,6785,3050,2784,06-06075-20200331,13,3
County,2020/03/31,06,CA,06081,San Mateo County,257617,508956,1596068,487651,460861,171890,198855,178352,69142,18576,7399,1614,1728,06-06081-20200331,13,3
County,2020/03/31,06,CA,06085,Santa Clara County,618904,1308948,3794809,1127686,948972,393387,531269,496280,199745,69952,17775,7150,2593,06-06085-20200331,13,3
County,2020/04/01,06,CA,06075,San Francisco County,331123,550426,1653284,554338,482412,209058,198742,126901,53989,17212,6476,1770,2386,06-06075-20200401,13,4
County,2020/04/01,06,CA,06081,San Mateo County,252773,513800,1645869,524929,444875,166760,227345,199596,57333,13671,6970,2661,1729,06-06081-20200401,13,4
County,2020/04/01,06,CA,06085,Santa Clara County,608283,1319569,4058260,1301463,981070,419437,584257,497923,187457,63531,15331,5153,2638,06-06085-20200401,13,4
County,2020/04/01,06,CA,06001,Alameda County,520609,1150720,3506777,1059181,912791,377251,418256,492539,173492,45145,20719,4127,3276,06-06001-20200401,13,4
County,2020/04/02,06,CA,06001,Alameda County,516284,1155045,3334679,985538,843851,346831,416700,474462,188749,48812,21137,5166,3433,06-06001-20200402,13,4
County,2020/04/02,06,CA,06075,San Francisco County,333676,547873,1601203,532976,434166,199768,209538,115998,71203,22257,9998,2564,2735,06-06075-20200402,13,4
County,2020/04/02,06,CA,06081,San Mateo County,253848,512725,1639181,508158,457845,183219,214732,190945,59096,14431,7519,1514,1722,06-06081-20200402,13,4
County,2020/04/02,06,CA,06085,Santa Clara County,612160,1315692,3938396,1233750,988680,392257,539158,490341,194246,72195,19317,5797,2655,06-06085-20200402,13,4
County,2020/04/03,06,CA,06001,Alameda County,501930,1169399,3449653,984444,916723,378432,434449,490333,176888,43645,17199,3986,3554,06-06001-20200403,13,4
County,2020/04/03,06,CA,06075,San Francisco County,327131,554418,1736225,574568,492101,231443,217363,132894,57908,18222,7355,1935,2436,06-06075-20200403,13,4
County,2020/04/03,06,CA,06081,San Mateo County,249481,517092,1653223,497262,490512,171773,218543,189908,58060,16208,5786,2678,2493,06-06081-20200403,13,4
County,2020/04/03,06,CA,06085,Santa Clara County,597624,1330228,4210619,1349817,1057747,435220,571172,507810,194369,69727,17462,5013,2282,06-06085-20200403,13,4
County,2020/04/04,06,CA,06085,Santa Clara County,648269,1279583,3770635,1150522,1043101,428189,506546,407155,146044,62050,17620,6394,3014,06-06085-20200404,13,4
County,2020/04/04,06,CA,06081,San Mateo County,269085,497488,1526565,439780,473625,184345,200582,150439,48845,14411,9287,2476,2775,06-06081-20200404,13,4
County,2020/04/04,06,CA,06075,San Francisco County,345045,536504,1572573,505642,469116,192990,203139,115064,56625,17645,7438,2294,2620,06-06075-20200404,13,4
County,2020/04/04,06,CA,06001,Alameda County,552703,1118626,3139810,892670,928279,359253,364944,398170,125223,42589,17028,5723,5931,06-06001-20200404,13,4
County,2020/04/05,06,CA,06085,Santa Clara County,689957,1237895,3205805,919102,960848,361686,433554,322102,119708,56581,20945,7956,3323,06-06085-20200405,14,4
County,2020/04/05,06,CA,06081,San Mateo County,287484,479089,1284404,349193,427674,152535,145167,139687,43795,12119,7383,4088,2763,06-06081-20200405,14,4
County,2020/04/05,06,CA,06075,San Francisco County,357895,523654,1348221,411182,430468,157553,166815,92488,54685,18878,10702,2761,2689,06-06075-20200405,14,4
County,2020/04/05,06,CA,06001,Alameda County,591337,1079992,2733650,764885,812585,299641,318178,341218,128275,39816,17694,6052,5306,06-06001-20200405,14,4
County,2020/04/06,06,CA,06085,Santa Clara County,644674,1283178,3933482,1202388,1031493,408175,565206,501501,154475,54313,11542,2957,1432,06-06085-20200406,14,4
County,2020/04/06,06,CA,06081,San Mateo County,265783,500790,1556593,475537,441469,174364,205553,178456,59657,13245,5318,1347,1647,06-06081-20200406,14,4
County,2020/04/06,06,CA,06075,San Francisco County,344732,536817,1744082,588423,515691,203805,221714,133220,57907,14469,5214,1636,2003,06-06075-20200406,14,4
County,2020/04/06,06,CA,06001,Alameda County,543635,1127694,3429307,953960,947508,376633,424981,500240,166887,39283,13382,3428,3005,06-06001-20200406,14,4
County,2020/04/07,06,CA,06085,Santa Clara County,619437,1308415,4384139,1444524,1087052,448918,614322,554491,175432,48317,8011,2200,872,06-06085-20200407,14,4
County,2020/04/07,06,CA,06081,San Mateo County,256043,510530,1727003,555406,497582,191834,221746,188783,54692,11535,4084,557,784,06-06081-20200407,14,4
County,2020/04/07,06,CA,06075,San Francisco County,336366,545183,1890348,659346,576140,241094,219186,121889,53182,11952,4382,1682,1495,06-06075-20200407,14,4
